title,price,Date
"Redmi A2 (Sea Green, 2GB RAM, 64GB Storage)","₹5,299",2023-11-29 03:24:50.393656
"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus","₹8,199",2023-11-29 03:24:50.393656
"Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus","₹8,199",2023-11-29 03:24:50.393656
"realme narzo N53 (Feather Black, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display","₹11,999",2023-11-29 03:24:50.393656
"Redmi 12C (Royal Blue, 6GB RAM, 128GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery","₹9,299",2023-11-29 03:24:50.393656
"Samsung Galaxy M04 Dark Blue, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera","₹7,799",2023-11-29 03:24:50.393656
"Redmi A2 (Aqua Blue, 2GB RAM, 64GB Storage)","₹5,299",2023-11-29 03:24:50.393656
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)","₹19,999",2023-11-29 03:24:50.393656
"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","₹17,999",2023-11-29 03:24:50.393656
"Redmi A2 (Classic Black, 2GB RAM, 64GB Storage)","₹5,299",2023-11-29 03:24:50.393656
"iQOO Z6 Lite 5G (Mystic Night, 6GB RAM, 128GB Storage) with Charger | World's First Snapdragon 4 Gen 1 | Best in-Segment 120Hz Refresh Rate | Travel Adaptor Included in The Box","₹12,999",2023-11-29 03:24:50.393656
"Xiaomi Redmi 10 Power (Power Black, 8GB RAM, 128GB Storage)","₹9,899",2023-11-29 03:24:50.393656
Redmi 12 5G Moonstone Silver 8GB RAM 256GB ROM,"₹14,999",2023-11-29 03:24:50.393656
"realme narzo N53 (Feather Gold, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display","₹11,999",2023-11-29 03:24:50.393656
"realme narzo N53 (Feather Black, 4GB+64GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display","₹8,999",2023-11-29 03:24:50.393656
"realme narzo N53 (Feather Gold, 4GB+64GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display","₹8,999",2023-11-29 03:24:50.393656
